satellite,time,x_km,y_km,z_km
CALSPHERE 1,2025-06-29 22:35:33,595.2377276601056,1089.8124277242898,7259.116333648505
CALSPHERE 1,2025-06-29 22:45:33,-1338.4988882713658,-2757.20625645029,6698.572102524357
CALSPHERE 1,2025-06-29 22:55:33,-2807.3332360805443,-5646.551276916805,3807.162228786913
CALSPHERE 1,2025-06-29 23:05:33,-3298.2414583119503,-6568.936574787443,-412.4693018647929
CALSPHERE 1,2025-06-29 23:15:33,-2637.0754241028135,-5196.803564161389,-4487.177913233984
CALSPHERE 1,2025-06-29 23:25:33,-1054.0747887158723,-2008.0563213028395,-6989.700283447058
CALSPHERE 1,2025-06-29 23:35:33,897.279174129309,1882.392310667867,-7043.949640391348
CALSPHERE 1,2025-06-29 23:45:33,2534.667998975311,5114.167079514013,-4629.0571792465535
CALSPHERE 1,2025-06-29 23:55:33,3284.012614968218,6554.133550554657,-588.9496544766412
CALSPHERE 1,2025-06-30 00:05:33,2882.946752031949,5698.137184016158,3658.395577473257
CALSPHERE 1,2025-06-30 00:15:33,1474.9832292733213,2852.0068490169187,6626.3475926060155
CALSPHERE 1,2025-06-30 00:25:33,-446.1260355324118,-986.3377170180123,7285.767160588526
CALSPHERE 1,2025-06-30 00:35:33,-2212.4227942896473,-4482.381602677701,5411.142024370039
CALSPHERE 1,2025-06-30 00:45:33,-3209.1965576686916,-6419.362853499212,1651.2735627355798
CALSPHERE 1,2025-06-30 00:55:33,-3086.194260070909,-6116.45774923627,-2685.3074927430494
CALSPHERE 1,2025-06-30 01:05:33,-1884.4595542116672,-3675.65049488403,-6080.901123876137
CALSPHERE 1,2025-06-30 01:15:33,-24.065782418734155,49.85415943558165,-7346.310665030938
CALSPHERE 1,2025-06-30 01:25:33,1844.6539091935083,3757.733360813374,-6037.962627698019
CALSPHERE 1,2025-06-30 01:35:33,3067.488154273382,6149.869580875368,-2611.3159903039405
CALSPHERE 1,2025-06-30 01:45:33,3215.342299731539,6386.815607426285,1732.6172019117053
CALSPHERE 1,2025-06-30 01:55:33,2238.3071061691285,4389.325187846384,5469.893849902416
CALSPHERE 1,2025-06-30 02:05:33,481.2440333995182,862.1965288147242,7298.260829627555
